ingredient,purpose,health_concern,alternative_names,bad_ingredients,bad_ingredients_preprocessed
Acesulfame potassium,Sweetener,"Cancer, Hormone Disruption, Risks to Pregnant People","Ace-K, Acesulfame K, E950,Sunett","Acesulfame potassium,Ace-K, Acesulfame K, E950,Sunett","acesulfame potassium, ace-k, acesulfame k, e950, sunett"
Allura Red AC,Coloring,May cause hyperactivity in children.,"E129,Red 40","Allura Red AC,E129,Red 40","allura red ac, e129, red 40"
Aloe vera,Flavoring,Cancer,"Aloe barbadensis, Aloe leaf extract","Aloe vera,Aloe barbadensis, Aloe leaf extract","aloe vera, aloe barbadensis, aloe leaf extract"
Amaranth,Coloring,carcinogenic effects,"E123,Red No. 2","Amaranth,E123,Red No. 2","amaranth, e123, red no. 2"
Aspartame ,Sweetener,"Cancer,Linked to headaches, dizziness","Equal, NutraSweet, E951, AminoSweet","Aspartame ,Equal, NutraSweet, E951, AminoSweet","aspartame, equal, nutrasweet, e951, aminosweet"
Azodicarbonamide,Coloring, Linked to respiratory issues and classified as a potential carcinogen.,"ADA,Dough Conditioner,Flour Treatment Agent","Azodicarbonamide,ADA,Dough Conditioner,Flour Treatment Agent","azodicarbonamide, ada, dough conditioner, flour treatment agent"
Brilliant Black BN,other,Linked to hyperactivity and allergic reactions.,"E151 ,Black PN","Brilliant Black BN,E151 ,Black PN","brilliant black bn, e151, black pn"
Brominated vegetable oil ,Emulsifier,Neurological & Behavioral,"BVO,Brominated Soybean Oil, Brominated Palm Oil, Brominated Vegetable Fat,Vegetable Oil Brominate","Brominated vegetable oil ,BVO,Brominated Soybean Oil, Brominated Palm Oil, Brominated Vegetable Fat,Vegetable Oil Brominate","brominated vegetable oil, bvo, brominated soybean oil, brominated palm oil, brominated vegetable fat, vegetable oil brominate"
Butylated hydroxyanisole ,Preservative,Cancer,"BHA, E320,Butylated Hydroxyanisole,E321,BHT,Butylated Hydroxytoluene","Butylated hydroxyanisole ,BHA, E320,Butylated Hydroxyanisole,E321,BHT,Butylated Hydroxytoluene","butylated hydroxyanisole, bha, e320, butylated hydroxyanisole, e321, bht, butylated hydroxytoluene"
Caramel coloring,Coloring,Cancer,"E150d, Sulfite ammonia,E150c,caramel color,caramel colour","Caramel coloring,E150d, Sulfite ammonia,E150c,caramel color,caramel colour","caramel coloring, e150d, sulfite ammonia, e150c, caramel color, caramel colour"
Carboxymethylcellulose,Stabilizers,Associated with gut inflammation and microbiota disturbances,E466,"Carboxymethylcellulose,E466","carboxymethylcellulose, e466"
Carmoisine,Coloring,Linked to hyperactivity and allergies.,"E122,Azorubine,Cochineal Red A","Carmoisine,E122,Azorubine,Cochineal Red A","carmoisine, e122, azorubine, cochineal red a"
Carrageenan,Stabilizers,Linked to gut inflammation and digestive issues.,E407,"Carrageenan,E407","carrageenan, e407"
Chloramphenicol,other, Associated with serious blood disorders.,CAP,"Chloramphenicol,CAP","chloramphenicol, cap"
Cyclamate,Sweetener,Cancer,"E952,Cyclamic Acid,Cyclamates","Cyclamate,E952,Cyclamic Acid,Cyclamates","cyclamate, e952, cyclamic acid, cyclamates"
Erythrosine,Coloring,Associated with hyperactivity in children,"Red Dye No. 3,E127, FD&C Red No. 3, Food Red 14","Erythrosine,Red Dye No. 3,E127, FD&C Red No. 3, Food Red 14","erythrosine, red dye no. 3, e127, fd&c red no. 3, food red 14"
Ginkgo biloba,Vitamins & Supplements,"Cancer, cardiovascular",,"Ginkgo biloba,","ginkgo biloba, "
Monosodium Glutamate,Flavor,headaches and nausea in sensitive individuals.,"E621, MSG,Glutamate","Monosodium Glutamate,E621, MSG,Glutamate","monosodium glutamate, e621, msg, glutamate"
Olestra,Oil & Oil Substitutes, can cause digestive discomfort,olean,"Olestra,olean","olestra, olean"
Phosphoric Acid,Preservative,Excessive intake has been associated with a higher risk of kidney stones and chronic kidney diseas,E338,"Phosphoric Acid,E338","phosphoric acid, e338"
Polyoxyethylene Sorbitan Monooleate ,Stabilizers,May cause allergic reactions and gut irritation.,"E433,Polysorbate 80","Polyoxyethylene Sorbitan Monooleate ,E433,Polysorbate 80","polyoxyethylene sorbitan monooleate, e433, polysorbate 80"
Ponceau 4R,Coloring,Suspected of being a carcinogen; linked to allergies.,E124,"Ponceau 4R,E124","ponceau 4r, e124"
Potassium Nitrite,Preservative,Cancer,"E249,Nitrites","Potassium Nitrite,E249,Nitrites","potassium nitrite, e249, nitrites"
Potassium bromate,Other,"Digestive,Classified as a possible human carcinogen.","E924, Bromated flour, KBrO3,Bromic Acid Potassium Salt","Potassium bromate,E924, Bromated flour, KBrO3,Bromic Acid Potassium Salt","potassium bromate, e924, bromated flour, kbro3, bromic acid potassium salt"
Potassium iodate,Other,"Digestive, Excessive consumption can lead to thyroid dysfunction, including hyperthyroidism or hypothyroidism.","E202, Sorbistat-K, KIO₃, Iodic Acid Potassium Salt","Potassium iodate,E202, Sorbistat-K, KIO₃, Iodic Acid Potassium Salt","potassium iodate, e202, sorbistat-k, kio₃, iodic acid potassium salt"
